"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1998-09-06 9 6 6 1998 104772.017631951 35338535.8093465 2675255.320498 508231.268018654 755884.731981346 2383196.9821754 181800
1998-09-13 9 7 13 1998 108088.003779738 35166573.6737424 2677337.07219786 521973.427920784 785774.572079216 2372819.91017567 181800
1998-09-20 9 8 20 1998 129831.605345804 34636247.0153334 2524748.29112905 626357.788164333 725022.211835667 2147536.72216185 181800
1998-09-27 9 9 27 1998 139082.287303169 34021523.6212436 2159667.08460767 671026.841727407 723985.158272593 1754746.95130293 181800
1998-10-04 10 10 4 1998 175778.642941674 28933992.1736453 2681452.48773109 709934.757799763 719982.842200237 2201630.7379033 363600
1998-10-11 10 11 11 1998 181621.419640285 28041392.8352061 1940597.44308789 743518.046102901 721305.153897099 1462688.82652666 363600
1998-10-18 10 12 18 1998 186381.234221265 27099676.1971764 1140800.80241137 778494.460467857 721234.339532143 677525.545564599 363600
1998-10-25 10 13 25 1998 189291.371987557 26184735.6792271 374056.397554922 814991.445924153 719642.954075847 186435.00259131 363600
1998-10-01 10 14 1 1998 194683.734803312 25471544.3283026 35456.8456612963 846687.96648651 722852.03351349 45455.8456612963 363600
1998-11-08 11 15 8 1998 0 24634936.9710918 1164246.8454247 0 1925344.2272012 1174245.8454247 2857855.7727988
1998-11-15 11 16 15 1998 0 23656340.2896783 124962.400714346 0 1842211.6321593 134961.400714346 2897788.3678407
1998-11-22 11 17 22 1998 0 23768778.570233 184296.338351442 0 1739014.8358297 194295.338351442 2957785.1641703
1998-11-29 11 18 29 1998 0 23814657.6950762 203783.861746842 0 1691294.47374583 213782.861746842 2962305.52625417
1998-12-06 12 19 6 1998 0 22797703.8537004 1103675.39417778 0 1813657.87261212 1113674.39417778 1491758.32738788
1998-12-13 12 20 13 1998 0 21849619.0288353 161262.426984714 0 1702043.76055555 171261.426984714 1683167.03944445
1998-12-20 12 21 20 1998 0 21679667.4688634 55954.7413540166 0 1794190.5942889 65953.7413540166 1670814.8057111
1998-12-27 12 22 27 1998 63544.9275447852 21642690.3753423 59093.7924403849 287719.895049864 1456348.10495014 47453.7756149861 1454400
1999-01-03 1 23 3 1999 22542.1659005081 24622271.5542038 7780891.87478302 91156.6782063916 1656304.92179361 7735505.40153847 727200
1999-01-10 1 24 10 1999 10461.2732647852 23960024.7155898 6871411.82353149 45116.2938213462 1705738.90617865 6853161.66325197 727200
1999-01-17 1 25 17 1999 48470.0248230391 23186229.1580616 5893975.40979766 222047.243532189 1532201.55646781 5750178.64940751 727200
1999-01-24 1 26 24 1999 37850.0148457201 22224415.0497986 4740928.62695936 185367.762472627 1572274.63752737 4636007.41900514 727200
1999-01-31 1 27 31 1999 13959.9866691728 21248553.8271674 3665513.90877836 73337.0470787275 1687698.95292127 3632535.10186018 727200
1999-02-07 2 28 7 1999 0 19816147.470302 3113095.30378834 0 1677870.33586879 3123094.30378834 923129.66413121
1999-02-14 2 29 14 1999 0 18854356.3802445 2267168.92823646 0 1657458.68723832 2277167.92823646 831341.31276168
1999-02-21 2 30 21 1999 0 17979463.8816404 1555768.06655953 0 1585146.01192734 1565767.06655953 791453.988072656
1999-02-28 2 31 28 1999 0 17198517.8816374 893610.221448702 0 1797465.24090857 903609.221448702 466934.759091427
1999-03-07 3 32 7 1999 0 16533822.0058875 371672.846381556 0 1677218.04823656 381671.846381556 1578681.95176344
1999-03-14 3 33 14 1999 0 16209431.114014 56877.4985361387 0 1663876.97989789 66876.4985361387 1492723.02010211
1999-03-21 3 34 21 1999 0 16337310.1144882 184645.007040286 0 2063389.45393408 194644.007040286 993910.546065921
1999-03-28 3 35 28 1999 0 16362797.2381123 138130.513961987 0 2061492.66786656 148129.513961987 896507.332133441
1999-04-04 4 36 4 1999 0 16486860.3950468 14501.2462888734 0 2736339.35048573 24500.2462888734 40160.6495142709
1999-04-11 4 37 11 1999 0 16506305.1422988 78630.5884696703 0 1745887.32125667 88629.5884696703 970312.67874333
1999-04-18 4 38 18 1999 0 16999927.9053814 180804.285989251 0 2799907.7970846 190803.285989251 0
1999-04-25 4 39 25 1999 0 17523794.0162278 769577.003948907 0 3780960.13724258 779576.003948907 0
