"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "MILNE" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS"
52 7 23 2000 105.647974393169 166.237856626725 44.0984224562551 3634.81758413133 7.83760613400471 138698.760047853 0 261.989327898732 0 3436.00074156215 3690.0708048242 0 0 4061.30787033584 0 85366.9041951923 813.385753645749 2256.42138672251 32767.5068515833 136.07201948076 17.7254743799404 20010.4498956043 889.774916439227 59340.6612521598 65.8220880665413 88055.1428326629 19509.4715835882 0 3961.09672187342 2558.65404241829 0 3207.02822660503 2058.35495749362 588.060001309599 9950.85149500426
52 7 30 2000 126.460070651367 63.6305721869375 21.7663967034339 3158.56870812625 7.83760613400471 120509.824811494 0 276.189910563892 0 2435.36407091214 8609.36541035024 0 0 1909.61393159067 0 76132.7900029796 1047.80624042549 1555.06875628911 23948.157949905 269.054638255789 11.2751532234598 23527.3522191736 970.061059425174 54551.0935834619 64.4989140803503 93859.9728855518 23762.5797016352 0 3169.16101154561 2216.89635216552 0 2246.78776406605 1714.20368575311 576.909809310047 7892.73104994117
1 8 6 2000 195.390135634595 94.3808109085961 10.883198351717 5390.47573302403 10.0664647076754 81552.5339165716 0 284.111664575847 0 2199.50220084569 14193.17199941 0 0 2798.51816385894 0 57669.5054880183 437.035455796259 1411.43112460809 14439.2640701136 387.862704328821 14.7877932874196 19373.6980216588 1132.65290514931 46163.3413903363 31.7695301499102 84771.9265781573 24405.6752577676 0 1544.66896859792 2477.02238628696 0 2798.6390477006 1922.19773398873 596.285607703909 8994.6627078648
2 8 13 2000 156.563780306537 158.011383095534 44.1768673609147 4642.99458393652 10.0664647076754 61668.4021503712 0 305.8519711332 0 1310.10083921351 12723.1880803107 0 0 2162.00798468351 0 37855.9193898054 755.083566861921 977.152758854315 9674.99287230655 177.623502688621 40.5890779133417 21511.5304183082 1052.63975365275 35843.5255774588 20.7521629991264 73493.537701088 25528.0014694994 0 1194.10327706738 2291.32051237381 0 2775.4949501443 2172.97526020603 588.699855089874 10746.9948033747
3 8 20 2000 128.831878481514 83.4067966360948 33.2936690091978 4961.62319121288 10.0664647076754 64445.7471136147 0 187.867559644994 0 1473.64473517443 8068.06090974712 0 0 2067.45247778238 0 27476.3970663964 1082.17932614722 1125.85600664382 9833.85501424983 112.069336574614 14.7877932874196 19079.6196048231 707.457573705371 39992.1601944335 51.0638636561995 50887.7949800937 27220.2325736951 0 1997.99237505692 1881.01870244183 0 2267.27235722156 2040.76012773234 502.179866759349 8233.93647080309
4 8 27 2000 180.809439569284 64.1326632430286 16.6468345045989 2494.77225252351 10.0664647076754 73801.4136889523 0 237.836419772542 0 1080.09722327199 8232.89915043826 0 0 1721.84542564417 0 28334.3408681369 867.78358495641 736.013261746893 11794.9517451573 157.231251980057 14.7877932874196 14277.5352244105 622.815877491074 38986.2923346174 40.6877821566363 29826.9253051371 26847.2029652914 0 2638.88591366988 1410.68337669116 0 1729.50251838689 1702.41943987895 548.082210600649 7461.60622377724
5 9 3 2000 150.754802606191 0 16.6468345045989 2772.97169506808 7.61482194961193 69453.5821782657 0 158.254356364924 0 1124.27259849974 9811.70644871909 0 0 1792.85921119619 0 33204.4489118953 283.387845261367 845.859496306977 10743.6522293041 213.429725988652 10.8099731569757 12606.2158759843 547.441072440073 31184.4864895215 31.1523092949244 15289.5753927893 19173.1683499029 0 1347.69250079536 1473.29400453042 0 2371.6653079385 1920.23056417647 416.237734753965 6384.46385484783
6 9 10 2000 134.117354284205 0 16.6468345045989 1380.1896629657 7.61482194961193 23411.3978578464 0 136.383953249921 0 171.985415937521 4310.86445026216 0 0 239.576286309678 0 23794.8834076997 33.0805100945322 106.720294365033 4666.78728902473 6.24556833967815 23.7106154699368 2465.71491871711 416.028587091294 17308.4931367156 0 10789.7524430062 5479.74949761592 0 546.020956818308 642.691419473522 0 1197.1646754311 809.254582958327 298.993534235273 4470.7064002673
7 9 17 2000 112.61685265207 0 0 4856.18552588161 7.61482194961193 39329.9253891975 0 132.117478552242 0 0 5916.96800499015 0 0 222.371810593377 0 19936.1174601199 534.563066059742 414.788826507999 3646.50625794037 29.9075135563006 17.2602943134563 6362.61155854994 362.659449338634 20342.9828595445 0 22623.2202473847 9118.437058109 0 2027.89077887021 1137.61433045476 0 1291.29095006073 1095.6319232935 311.572457587185 5019.1984433596
8 9 24 2000 112.61685265207 0 0 3117.90738185607 7.61482194961193 28732.7784909862 0 243.03994580191 0 23.9762370101944 5585.35781570149 0 0 600.552829211308 0 20416.8439464659 393.466741367557 317.743393252401 3929.56852604084 24.0360409527937 10.8099731569757 7615.11730244221 453.290151339315 23591.4687641606 0 19316.1797010784 5605.3659547262 0 664.645162818581 1085.04008285469 0 1673.74882154597 957.483514276214 322.129917726886 4134.14281623075
