"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1982-10-31 10 14 31 1982 142047.387078217 34569791.624967 3279790.01685925 693689.017150167 875850.982849833 2714868.71792603 363600
1982-11-07 11 15 7 1982 19950.1963733382 33751522.0985925 4572523.0745451 95015.9414117662 1430892.05858823 4505108.06506347 3272400
1982-11-14 11 16 14 1982 0 31397294.976467 2337847.06202091 0 1706809.70833637 2347846.06202091 3033190.29166363
1982-11-21 11 17 21 1982 0 29767527.1543094 846935.553009216 0 1843662.14492848 856934.553009216 2853137.85507152
1982-11-28 11 18 28 1982 0 29160384.6064147 288726.316997149 0 1847588.98900234 298725.316997149 2806011.01099766
1982-12-05 12 19 5 1982 0 28468591.6181499 2995183.20799305 0 1797596.68402877 3005182.20799305 1507819.51597123
1982-12-12 12 20 12 1982 0 27353602.8847115 1896059.0957414 0 1610980.01791456 1906058.0957414 1774230.78208544
1982-12-19 12 21 19 1982 16284.9219955545 25776002.5139451 759929.766666853 78707.6444553677 1578096.35554463 730029.388298291 1824605.4
1982-12-26 12 22 26 1982 57538.1923783947 24586749.6456538 86696.3891112396 256152.674458564 1487915.32554144 17396.6677546716 1454400
1983-01-02 1 23 2 1983 39529.5114959023 28450463.9212727 5885373.48207159 163978.628517905 1583482.97148209 5778071.31012489 727200
1983-01-09 1 24 9 1983 25873.5377876969 27247727.4809764 5226786.14700153 109926.329211924 1640928.87078808 5157022.01900113 727200
1983-01-16 1 25 16 1983 61952.0492010523 26274109.0111543 4597584.45618976 270865.524429366 1483383.27557063 4409528.13166552 727200
1983-01-23 1 26 23 1983 76890.3317754289 25193595.7093628 3811012.42019117 350100.709669295 1407541.69033071 3571023.00133174 727200
1983-01-30 1 27 30 1983 51094.8219186128 24057428.1063026 2993192.17648677 245454.810856196 1515581.1891438 2826682.60778004 727200
1983-02-06 2 28 6 1983 29806.0236494102 22901759.485846 2394320.69105231 154194.979247756 1493519.02075224 2291579.17995391 969600
1983-02-13 2 29 13 1983 3091.28212292846 21472731.9346004 1491137.10325425 17345.9328274357 1517046.06717256 1488229.32954057 969600
1983-02-20 2 30 20 1983 0 20234600.8816918 752734.99881157 0 1602515.95517929 762733.99881157 774084.044820708
1983-02-27 2 31 27 1983 0 19453195.4633448 271044.318439297 0 1817944.53028855 281043.318439297 446455.469711446
1983-03-06 3 32 6 1983 0 18702461.4676915 181897.571449237 0 2133661.32931081 191896.571449237 1122238.67068919
1983-03-13 3 33 13 1983 0 18741485.1646055 244115.538497295 0 2238030.52170384 254114.538497295 918569.478296155
1983-03-20 3 34 20 1983 0 18802081.8840505 333688.448437211 0 2743257.18540801 343687.448437211 314042.814591991
1983-03-27 3 35 27 1983 0 18723391.6308026 295351.194083671 0 2339982.71473062 305350.194083671 618017.285269383
1983-04-03 4 36 3 1983 0 17533759.6860324 114019.502372006 0 3075291.50398278 124018.502372006 0
1983-04-10 4 37 10 1983 0 17597730.0606886 304784.566561358 0 1944319.1028151 314783.566561358 771880.897184898
1983-04-17 4 38 17 1983 0 17485610.6511832 91854.7518984633 0 1671296.84849552 101853.751898463 984603.151504478
1983-04-24 4 39 24 1983 0 18011283.0920195 254971.652672015 0 2137665.2968816 264970.652672015 457934.703118404
1983-05-01 5 40 1 1983 0 19531384.9188129 109173.220963438 0 2641576.15411393 119172.220963438 0
1983-05-08 5 41 8 1983 0 21080046.613962 174326.461655117 0 3214290.65235101 184325.461655117 0
1983-05-15 5 42 15 1983 0 22911250.5602252 232326.182985528 0 3308205.45925286 242325.182985528 0
1983-05-22 5 43 22 1983 0 24838337.2000849 339603.633709924 0 3255656.2172625 349602.633709924 0
1983-05-29 5 44 29 1983 0 28227559.4912357 917488.727040227 0 3341416.45318714 927487.727040227 0
1983-06-05 6 45 5 1983 0 34030590.0515291 3031956.82096254 0 4185248.94259842 3041955.82096254 0
1983-06-12 6 46 12 1983 0 36411300.813091 3060609.4911646 0 4493787.00728878 3070608.4911646 0
1983-06-19 6 47 19 1983 0 37780051.405292 2492913.83829068 0 4457084.66634233 2502912.83829068 0
1983-06-26 6 48 26 1983 0 38841941.1995884 1799321.71379338 0 4403951.42995192 1809320.71379338 0
1983-07-03 7 49 3 1983 0 41147001.6452873 2268388.32947547 0 3419000.35060757 2278387.32947547 456699.649392433
1983-07-10 7 50 10 1983 0 41996450.4183716 2427582.29714075 0 3212867.1630036 2437581.29714075 645732.836996396
1983-07-17 7 51 17 1983 0 186251634.650526 2117355.3043788 0 3350264.72423527 2127354.3043788 491235.275764734
1983-07-24 7 52 24 1983 0 42743490.019059 1912133.11086226 0 3404305.00479396 1922132.11086226 420094.995206038
1983-07-31 7 52 31 1983 0 128428208.725142 1914765.95831504 0 2787440.15720489 1924764.95831504 1036959.84279511
1983-08-07 8 1 7 1983 0 346616372.525385 1944919.61712101 0 2855990.53331857 1954918.61712101 0
1983-08-14 8 2 14 1983 0 316116174.102584 2132690.9478552 0 2926048.01012826 2142689.9478552 0
1983-08-21 8 3 21 1983 0 185851680.784157 2151056.15566264 0 2263478.99664558 2161055.15566264 0
1983-08-28 8 4 28 1983 0 114087364.757491 2315460.56795939 0 1699103.03099152 2325459.56795939 0
1983-09-04 9 5 4 1983 37534.3636732893 40261683.8875796 2788447.57608153 220516.631965299 999967.3680347 2642541.60968639 484800
1983-09-11 9 6 11 1983 88846.3574758271 40238390.8727659 3129380.50362301 491678.107029242 772437.892970758 2794965.9338166 181800
1983-09-18 9 7 18 1983 82514.1869049585 40190639.2599673 3023827.08910291 455021.499797203 852726.500202797 2718755.8000567 181800
1983-09-25 9 8 25 1983 83298.3761300802 39976469.478482 2929417.98814216 460760.879039002 890619.120960998 2664214.78134888 181800
1983-10-02 10 9 2 1983 102422.859298211 34719411.1384182 2633283.42053527 488194.599675204 906817.400324796 2316115.2224689 181800
1983-10-09 10 10 9 1983 119875.219650578 34041181.2558585 3251316.06683255 545652.266891328 884265.333108672 2893823.9640449 363600
1983-10-16 10 11 16 1983 119679.848738333 33103193.8331297 2646148.45653236 551891.173427441 912932.026572559 2284020.42889719 363600
1983-10-23 10 12 23 1983 132179.745822189 32202132.1455069 2082102.28658611 615884.145328143 883844.654671857 1685343.60320531 363600
1983-10-30 10 13 30 1983 139506.73617775 31348601.9351882 1580722.67826934 652917.2088733 881717.1911267 1163877.07852256 363600
1983-11-06 11 14 6 1983 0 30523733.5692972 1201758.8383176 0 1774852.58631187 1211757.8383176 142747.413688132
1983-11-13 11 15 13 1983 0 31241879.3398947 3479358.02262816 0 1873698.75942653 3489357.02262816 2909501.24057347
1983-11-20 11 16 20 1983 30815.1085394052 29780220.1115468 1568054.79423699 162518.310833981 1319757.68916602 1463382.15937113 3272400
1983-11-27 11 17 27 1983 14599.8443639014 28917932.6343218 316293.785997108 77951.9010772565 1360692.09892274 273292.118015363 3272400
1983-12-04 12 18 4 1983 0 28205077.6231006 136638.094342561 0 1731243.53770184 146637.094342561 2922356.46229816
1983-12-11 12 19 11 1983 0 28245459.5962153 2745864.34847931 0 1772534.86303421 2755863.34847931 1532881.33696579
1983-12-18 12 20 18 1983 0 26850166.0962402 1693027.31136799 0 1790273.35674202 1703026.31136799 1594937.44325798
1983-12-25 12 21 25 1983 0 25342693.6430565 648491.97693055 0 1717475.48675412 658490.97693055 1747529.91324588
1984-01-01 1 22 1 1984 0 28670847.4174618 1179335.9025926 0 1863996.74346684 1189334.9025926 1317203.25653316
1984-01-08 1 23 8 1984 0 27268277.4735817 4827608.89913554 0 1803487.80587408 4837607.89913554 653872.194125915
1984-01-15 1 24 15 1984 11054.8484154101 26474734.201673 4459893.40280385 54203.9139586445 1696651.28604136 4429670.88841317 727200
1984-01-22 1 25 22 1984 1758.22364756005 25420411.3023011 3904268.38117565 8884.56142562651 1745364.23857437 3907571.9991376 718715.761425626
1984-01-29 1 26 29 1984 0 24517432.9749566 3457117.72104059 0 1811603.13126746 3467116.72104059 655836.868732544
1984-02-05 2 27 5 1984 37505.0305755764 23797329.3586436 2989301.75916408 202650.99152995 1558385.00847005 2848008.55507993 727200
1984-02-12 2 28 12 1984 21483.5665165336 22928482.6926488 2462730.20142192 124671.391600838 1523042.60839916 2376667.89405809 969600
1984-02-19 2 29 19 1984 0 21760153.6284612 1596439.9908478 0 1584869.34985243 1606438.9908478 903930.650147569
1984-02-26 2 30 26 1984 0 20623423.3793768 867148.349853175 0 1610184.27557404 877147.349853175 766415.724425956
1984-03-04 3 31 4 1984 0 19116552.503269 246547.837157033 0 1706499.89766135 256546.837157033 557900.102338649
1984-03-11 3 32 11 1984 0 18855448.3715082 135054.718236832 0 1737997.42101151 145053.718236832 1517902.57898849
1984-03-18 3 33 18 1984 0 18772074.6202014 114353.486503604 0 1716011.26702141 124352.486503604 1440588.73297859
1984-03-25 3 34 25 1984 0 18839839.379257 203580.948951141 0 2024980.1913214 213579.948951141 1032319.8086786
1984-04-01 4 35 1 1984 0 17730874.537109 242389.536497794 0 2854250.16987087 252388.536497794 103749.830129126
1984-04-08 4 36 8 1984 0 17683296.9013612 176485.652823315 0 1671529.15108023 186484.652823315 1104970.84891977
1984-04-15 4 37 15 1984 0 17706923.4322058 169076.781881628 0 1853617.59885335 179075.781881628 862582.401146651
1984-04-22 4 38 22 1984 0 18357495.2159883 287720.706195353 0 2099801.84675172 297719.706195353 556098.153248277
1984-04-29 4 39 29 1984 0 18517948.3136911 193768.516814068 0 3546248.29510604 203767.516814068 0
1984-05-06 5 40 6 1984 0 18954975.4204774 92073.241317262 0 2415851.54278485 102072.241317262 0
1984-05-13 5 41 13 1984 0 19469364.1940381 43383.431545895 0 2385614.29681151 53382.431545895 0
1984-05-20 5 42 20 1984 0 20675324.0628579 157790.707997988 0 2971308.32818762 167789.707997988 0
1984-05-27 5 43 27 1984 0 22855593.9103663 259468.866479179 0 3184556.51852873 269467.866479179 0
1984-06-03 6 44 3 1984 0 25900637.4902533 392778.856437862 0 3253183.63155019 402777.856437862 0
1984-06-10 6 45 10 1984 0 30214502.7291558 693395.339482951 0 2869344.29661895 703394.339482951 0
1984-06-17 6 46 17 1984 0 32666091.8577357 705013.447269695 0 4084398.99458922 715012.447269696 0
1984-06-24 6 47 24 1984 0 34682433.0477008 559739.257842997 0 4462782.48051761 569738.257842997 0
1984-07-01 7 48 1 1984 0 38865958.9696572 17460.6001102705 0 4086543.94230915 27459.6001102705 0
1984-07-08 7 49 8 1984 0 42040681.0438996 1102512.00511014 0 3832437.81479042 1112511.00511014 43262.1852095793
1984-07-15 7 50 15 1984 0 43677856.5075174 2574666.44265045 0 3283499.02874086 2584665.44265045 575100.971259137
1984-07-22 7 51 22 1984 0 48633298.4274014 2407587.83887865 0 3135725.23482562 2417586.83887865 705774.765174384
1984-07-29 7 52 29 1984 0 166097340.660954 1911660.63660935 0 2918275.96041451 1921659.63660935 906124.039585489
1984-08-05 8 1 5 1984 0 296402650.46652 2179365.66676175 0 2980480.87577607 2189364.66676175 0
1984-08-12 8 2 12 1984 0 196945445.645419 2398612.43280874 0 3073767.07727674 2408611.43280874 0
1984-08-19 8 3 19 1984 0 224177328.175948 2567337.37175387 0 3003930.89587504 2577336.37175387 0
1984-08-26 8 4 26 1984 0 116594588.992769 2612485.73504309 0 1852093.28977793 2622484.73504309 0
1984-09-02 9 5 2 1984 0 49799244.5677172 3042714.90726336 0 1287818.05333994 3052713.90726336 405381.94666006
1984-09-09 9 6 9 1984 28820.7421108735 40787664.0076513 3467304.0730409 162757.619788252 1101358.38021175 3357727.95225685 181800
1984-09-16 9 7 16 1984 48509.2585470259 41061829.6734361 3609358.91940314 276519.831473826 1031228.16852617 3415138.08601446 181800
1984-09-23 9 8 23 1984 59496.4717123908 40911479.8945035 3338686.08159097 335954.338991768 1015425.66100823 3107236.34082314 181800
1984-09-30 9 9 30 1984 78632.4352912014 40856440.4792517 3340543.3609275 443474.341542653 951537.658457347 3058858.84420182 181800
1984-10-07 10 10 7 1984 97022.9081429762 35549276.7957328 4083778.73901516 462855.293011533 967062.306988467 3764026.1264443 363600
1984-10-14 10 11 14 1984 129706.236323871 34811985.3078209 3675279.03660875 620327.659680927 844495.540319073 3242373.27923666 363600
1984-10-21 10 12 21 1984 109166.380048314 34004049.3547629 3126145.04669667 516978.186542779 982750.613457221 2768861.10758058 363600
1984-10-28 10 13 28 1984 129710.488005709 33139714.6361195 2559806.55061564 615586.04207021 919048.35792979 2132695.71403962 363600
1984-11-04 11 14 4 1984 0 32132117.3452197 1879556.83075178 0 1685119.45175525 1889555.83075178 232480.548244753
1984-11-11 11 15 11 1984 0 32126961.3328378 3912473.67432577 0 1536595.5592905 3922472.67432577 3246604.4407095
1984-11-18 11 16 18 1984 0 29906006.1441982 1756264.67389904 0 1494379.56683692 1766263.67389904 3245620.43316308
1984-11-25 11 17 25 1984 0 28615438.9141989 469175.384966405 0 1488156.31593774 479174.384966405 3208643.68406226
1984-12-02 12 18 2 1984 0 27841107.9217213 101014.029409981 0 1607130.32621369 111013.029409981 3046469.67378631
1984-12-09 12 19 9 1984 0 27453380.6443491 2731136.7470583 0 1641520.93438067 2741135.7470583 1663895.26561933
1984-12-16 12 20 16 1984 0 25893193.0520852 1669416.95362778 0 1734918.59541846 1679415.95362778 1650292.20458154
1984-12-23 12 21 23 1984 0 24305010.7136521 632342.071046572 0 1761086.08168958 642341.071046572 1703919.31831042
