"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1980-11-30 11 18 30 1980 0 25939486.3826775 200341.402432939 0 2015418.16177176 210340.402432939 2638181.83822824
1980-12-07 12 19 7 1980 0 25966854.3637554 1472520.95719702 0 1800095.14386821 1482519.95719702 1505321.05613179
1980-12-14 12 20 14 1980 0 24564184.6448007 792706.264362654 0 1790162.28676854 802705.264362654 1595048.51323146
1980-12-21 12 21 21 1980 0 23765467.3197347 700867.579742066 0 1883023.17204854 710866.579742066 1581982.22795146
1980-12-28 12 22 28 1980 0 22926511.9187523 556903.341329256 0 1802465.90618981 566902.341329257 1378734.09381019
1981-01-04 1 23 4 1981 0 27152036.8347161 11236615.9249662 0 1822302.14503882 11246614.9249662 635057.854961184
1981-01-11 1 24 11 1981 77713.8602846168 26476314.193224 10883749.7609252 315045.529273256 1435809.67072674 10645341.958788 727200
1981-01-18 1 25 18 1981 10092.2402040991 25270753.0533514 10037755.8691537 41703.5903442276 1712545.20965577 10014574.3745321 727200
1981-01-25 1 26 25 1981 0 24212295.1648262 9437731.21411231 0 1869395.68621934 9447730.21411231 598044.313780656
1981-02-01 2 27 1 1981 0 23320002.5848508 9058779.77896557 0 1814513.09715684 9068778.77896557 656286.902843165
1981-02-08 2 28 8 1981 15849.6206826453 22386668.4246395 8782737.30321831 68912.8872591318 1578801.11274087 8736113.55428207 969600
1981-02-15 2 29 15 1981 644.254344698867 21081632.1011769 7947534.7911794 2897.16800241661 1531494.83199758 7955105.44702658 957305.168002417
1981-02-22 2 30 22 1981 0 20193851.0185518 7539870.04755789 0 1938606.68807856 7549869.04755789 437993.311921442
1981-03-01 3 31 1 1981 0 19714482.1787034 7506233.16868339 0 2041036.29275798 7516232.16868339 223363.707242016
1981-03-08 3 32 8 1981 0 19481276.0212647 7309127.28098095 0 3662879.25302973 7319126.28098095 0
1981-03-15 3 33 15 1981 0 19116254.8925907 7238969.24023181 0 1702515.61191848 7248968.24023181 1454084.38808152
1981-03-22 3 34 22 1981 0 17668871.7164336 5959947.32973978 0 1929978.76548388 5969946.32973978 1127321.23451612
1981-03-29 3 35 29 1981 0 16557415.3076204 5009262.15995478 0 1891031.55753727 5019261.15995478 1066968.44246273
1981-04-05 4 36 5 1981 0 15621544.4502917 3086560.63145632 0 3385273.76371334 3096559.63145632 0
1981-04-12 4 37 12 1981 0 15444267.7847773 3020834.57864965 0 1596559.94256814 3030833.57864965 1119640.05743186
1981-04-19 4 38 19 1981 0 14508826.0408288 1768363.32936948 0 1771648.47401303 1778362.32936948 884251.525986966
