"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1988-02-14 2 29 14 1988 257413.5057 2845592.70805283 0 219913.5057 494631.321745594
1988-02-21 2 30 21 1988 307888.0488 1968925.34725071 0 270388.0488 615969.476838524
1988-02-28 2 31 28 1988 313952.1938 1228725.98684729 0 276452.1938 583211.567789865
1988-03-06 3 32 6 1988 262914.62190007 1296896.01893 0 262914.62190007 533253.004494159
1988-03-13 3 33 13 1988 247743.41195182 1306988.87565751 0 247743.41195182 547507.851147973
1988-03-20 3 34 20 1988 210284.92916856 1284734.3478875 0 210284.92916856 491156.910273973
1988-03-27 3 35 27 1988 293406.5467116 1377375.22342751 0 293406.5467116 543073.834410432
1988-04-03 4 36 3 1988 240558.321299 1154493.12709499 0 259308.321299 674923.499774541
1988-04-10 4 37 10 1988 256768.238361 1246614.39552945 0 275518.238361 573222.739602211
1988-04-17 4 38 17 1988 296324.075675 1509002.75439224 0 315074.075675 509451.480258303
1988-04-24 4 39 24 1988 631735.3579067 540497.25 0 650485.3579067 1895682.12818796
1988-05-01 5 40 1 1988 361656.9055 1790039.25 0 426656.9055 1777313.82799529
1988-05-08 5 41 8 1988 235836.0576038 1790039.25 0 258836.0576038 1285902.4745783
1988-05-15 5 42 15 1988 315289.152135 1779629.0966738 0 315289.152135 829494.559827544
1988-05-22 5 43 22 1988 200294.119434095 1790039.25 0 264448.352584179 2207037.31644212
1988-05-29 5 44 29 1988 165281.054551309 1790039.25 0 182957.0743536 1184877.67447039
1988-06-05 6 45 5 1988 465387.697956376 1638397.73813248 359555.855911423 620557.445004001 1764282.97285165
1988-06-12 6 46 12 1988 153930.522093 1938047.51403448 464846.946913897 153930.522093 1561979.41138795
1988-06-19 6 47 19 1988 62273.5875899 1603389.64005688 349753.469175439 -15285.2904979996 1266493.72515002
1988-06-26 6 48 26 1988 93172.2786209 1394283.90515942 279700.371273022 -104623.5071 945342.678112839
1988-07-03 7 49 3 1988 95191.7853998001 2049069.16485227 246504.791811164 -8878.59199999998 663629.170840561
1988-07-10 7 50 10 1988 123603.0117907 1369085.40642603 251212.914766711 -59405.28284 512902.372068435
1988-07-17 7 51 17 1988 134325.211189 937106.287682452 187873.979165897 -72383.10823 587709.835680011
1988-07-31 7 52 31 1988 132507.8913317 754965.741382573 96047.6792128002 -75350.45341 241839.407796143
1988-08-07 8 1 7 1988 0 1371045.91911095 129624.5625505 -36419.5895 529981.457635459
1988-08-14 8 2 14 1988 0 1110520.44685669 214084.928334096 -41539.13055 829076.250498025
1988-08-21 8 3 21 1988 0 546026.451799114 186753.444909514 -40767.94181 532736.439259214
1988-08-28 8 4 28 1988 0 498445.390485841 178697.259009058 -33626.41014 512470.459562657
1988-09-04 9 5 4 1988 0 316621.339338323 43571.1635052487 -9763.4644 199247.517486537
1988-09-11 9 6 11 1988 0 541565.763612438 4715.75987228658 16641.14378 65908.06610501
1988-09-18 9 7 18 1988 0 1013558.41059788 0 39932.07008 198608.898713735
1988-09-25 9 8 25 1988 0 1280176.96273017 0 68182.705 223393.340572222
1988-10-02 10 9 2 1988 22753.3697699999 1552433.83839368 3858.2348732315 60113.98731 347125.049509593
1988-10-09 10 10 9 1988 97975.948213 1611404.39130105 0 97975.948213 297256.122524936
1988-10-16 10 11 16 1988 86446.88836919 1566414.96171168 0 86446.88836919 159145.947814414
1988-10-23 10 12 23 1988 83541.8649870999 2211178.76405946 0 83541.8649871 245528.618042868
1988-10-30 10 13 30 1988 84551.592773 1954511.45254256 0 84551.592773 394829.535890895
1988-11-06 11 14 6 1988 76848.3812189901 2293247.28503765 0 76848.38121899 143096.531308384
1988-11-13 11 15 13 1988 123085.08252 2733146.10165542 0 142217.95248 447657.852555164
1988-11-20 11 16 20 1988 112175.5513 876632.227176517 0 173952.98904 395463.123065164
1988-11-27 11 17 27 1988 125292.7581 914933.757392019 0 140092.4573 357149.985675164
1988-12-04 12 18 4 1988 101255.88807 911188.96148499 0 193065.36306 382148.882790965
1988-12-11 12 19 11 1988 122139.42724 3264670.09998524 0 162366.744188138 917685.095402917
1988-12-18 12 20 18 1988 126183.93799 3136998.63716297 0 178002.5967 338078.849130965
1988-12-25 12 21 25 1988 128176.40015 1550401.50873181 0 166553.9904 346247.114630965
1989-01-01 1 22 1 1989 130710.35825 1473930.801615 0 156262.248100001 328185.157233083
1989-01-08 1 23 8 1989 124959.94084 1636469.39379362 0 169286.3621 494576.762693083
1989-01-15 1 24 15 1989 124727.9038 1869801.68677879 0 167891.2457 369923.356823083
1989-01-22 1 25 22 1989 128081.77403 1773097.2679763 0 159692.294300001 380785.881563083
1989-01-29 1 26 29 1989 123708.86963 1980679.88307511 0 172158.0768 415940.720663083
1989-02-05 2 27 5 1989 122977.92914 1924558.50787381 0 171722.9855 348422.029859865
1989-02-12 2 28 12 1989 128901.52338 2295552.87138581 0 213457.0757 700027.788479865
1989-02-19 2 29 19 1989 197064.290828138 1890074.76798205 0 204719.2539 342923.008579865
