"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalRelReducReq" "ARPrelim" "ARCombSup" "AREnergySup" "ARMcNarySup" "ARSharedWater" "ARECCSharedWater" "AR_CRT_SOA_storage" "AR_CRT_storage" "AR_CRT_release" "MI_CRT_storage" "MI_CRT_release" "MIMcNarySup" "MI_CRT_SOA_storage" "MIRelReducReq" "ARRelReducReq" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
2011-05-01 5 40 1 2011 55160.9035 1253525.78477735 0 92819 0 0 0 2833716.48530415 0 1e+06 1813600 23400 2500000 NA 0 2500000 0 0 0 341062.919193 732674.586353568
2011-05-08 5 41 8 2011 95622.4664980001 953040.553817281 0 92819 0 0 0 2993091.95803074 0 1e+06 1790200 23400 2500000 NA 0 2500000 0 0 0 319720.450805 805657.303817281
2011-05-15 5 42 15 2011 355121.83897234 1425032.51305 0 92819 0 0 0 3354246.68613074 0 1e+06 1766800 23400 2500000 NA 0 2500000 0 0 0 448121.83897234 1277649.26305
2011-05-22 5 43 22 2011 1114982.02268969 1813439.25 0 92819 0 0 0 3892684.83048486 0 1e+06 1743400 23400 2500000 NA 0 2500000 0 0 0 1241982.02268969 2927541.18487533
2011-05-29 5 44 29 2011 794230.429181198 1813439.25 1283727.37429095 92819 0 0 0 4464434.85619337 0 1e+06 1720000 23400 2500000 NA 0 2500000 36856.1025393752 92819 84474.8561933674 904230.429181198 3041965.93081052
2011-06-05 6 45 5 2011 1017576.35414283 1894089.01576758 661090.400009601 116669 0 0 0 4854445.48522974 0 1e+06 1672750 47250 2500000 NA 0 2500000 18171.8892682304 55258.277564777 1571261.59261531 1017576.35414283 3079952.27579077
2011-06-12 6 46 12 2011 995153.699521199 171233.25 1070887.8778427 116669 0 0 0 5203083.46228911 0 1e+06 1625500 47250 2500000 NA 0 2500000 325608.339466615 116669 2333031.03146023 995153.699521199 2723323.02647346
2011-06-19 6 47 19 2011 1232058.38341479 345513.202493975 2977874.59805352 302091.344068265 0 0 0 5259960 0 1e+06 1578250 47250 2500000 NA 0 2500000 448726.145405144 302091.344068265 2471371.12112222 1232058.38341479 3711351.32323105
2011-06-26 6 48 26 2011 998708.443938011 52064.25 1935880.12277327 531983.527769954 0 0 0 5259960 0 1e+06 1531000 47250 2500000 NA 0 2500000 1935880.12277327 531983.527769954 2782301.6022484 998708.44393801 3240749.28467112
2011-07-03 7 49 3 2011 964677.560938801 52064.25 734489.785033239 127919 0 0 0 5562714.159282 0 1e+06 1472500 58500 2500000 NA 0 2500000 734489.785033239 127919 3411629.55542006 964677.560938801 2654183.21773865
2011-07-10 7 50 10 2011 953805.253982 52064.250000001 0 127919 0 0 0 5533977.5627516 0 1e+06 1414000 58500 2500000 NA 0 2500000 0 0 3627573.10325784 953805.253982 2585259.59156088
2011-07-17 7 51 17 2011 612605.070401 52064.25 0 127919 0 0 0 5439642.5681801 0 1e+06 1355500 58500 2500000 NA 0 2500000 0 0 3757578.35331508 612605.070401 2121984.67623277
2011-07-24 7 52 24 2011 317427.504776999 289778.74646977 0 127919 63520.0545448447 0 22987.8972517334 14374094.1303921 0 1e+06 1297000 58500 2500000 NA 43027.8436745443 2500000 0 0 3898644.27270505 317427.504776999 1462961.80417245
